,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
13806,246702473,3,2,3,0,0,0,0,759,68,50,7,29
13807,1181737355,3,0,0,0,0,1,2,20,3,0,25,1
13808,136700299,130,67,0,0,2,105,23,8134,638,393,608,1465
13809,120709519,4,3,1,3,0,0,0,999,80,38,7,62
13810,158130577,1,0,0,1,0,0,0,117,4,0,5,1
13811,1054531985,61,35,31,19,10,1,0,22433,213,565,273,539
13812,86761873,4,4,2,1,1,0,0,776,66,44,4,39
13813,18866582,4,1,1,1,2,0,0,843,53,9,28,35
13814,100688279,2,1,0,0,2,0,0,177,6,5,9,30
13815,62972313,16,4,0,1,3,12,0,1434,53,52,112,162
13816,156459418,3,0,1,1,1,0,0,828,28,25,15,23
13817,411099550,12,4,8,2,1,0,1,3378,173,54,49,94
13818,848126368,2,1,1,0,1,0,0,372,18,11,10,7
13819,256663972,3,1,0,0,0,2,1,197,6,5,38,48
13820,1232626086,1,1,0,0,1,0,0,128,3,6,5,8
13821,909173159,11,9,3,6,2,0,0,2186,176,120,34,130
13822,136536489,3,0,2,1,0,0,0,839,32,18,17,18
13823,144597422,13,4,0,0,0,3,10,522,43,39,88,165
13824,997548462,4,4,0,0,0,3,1,172,13,11,8,88
13825,250044849,2,1,1,1,0,0,0,460,17,17,4,21
13826,182477233,2,0,0,0,0,1,1,115,3,1,30,25
13827,256573933,3,2,0,0,0,3,0,138,14,12,14,37
13828,1114792376,10,4,0,0,0,8,2,473,23,32,63,138
