,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
767,193704726,30,10,0,0,0,3,27,41.833333333333336,2.8666666666666667,1.5666666666666667,7.566666666666666,11.133333333333333,1584,dsr,6065.0,6087.0,512.0,5.0
811,110605738,30,12,0,6,20,3,1,160.86666666666667,7.3,4.366666666666666,5.666666666666667,10.4,711,SHERLOCK,5348.0,6398.0,876.0,3.0
106,111150817,30,11,1,0,23,6,0,177.3,9.566666666666666,3.2333333333333334,7.433333333333334,12.0,721,EweDota,5701.0,6421.0,,3.0
472,148053939,30,17,1,4,17,8,0,144.36666666666667,9.966666666666667,5.033333333333333,6.566666666666666,13.8,1216,Francoeur,6378.0,6845.0,160.0,3.0
610,162539779,30,15,24,4,2,0,0,324.76666666666665,8.9,7.166666666666667,3.2,8.333333333333334,1334,Cije,6392.0,6764.0,271.0,1.0
1611,96169991,29,7,4,10,10,4,1,191.44827586206895,9.0,5.896551724137931,5.448275862068965,10.931034482758621,460,Ar1se,6651.0,7888.0,812.0,2.0
1695,85784109,29,13,0,0,2,20,7,62.55172413793103,2.3793103448275863,3.5517241379310347,8.620689655172415,18.655172413793103,264,Pingu,4901.0,4122.0,246.0,4.0
1122,114445601,29,16,0,1,1,20,7,52.689655172413794,4.862068965517241,3.4827586206896552,8.10344827586207,15.379310344827585,780,Delight,5559.0,6421.0,655.0,4.0
16,189038762,29,10,0,0,0,15,14,46.689655172413794,2.793103448275862,3.1379310344827585,7.413793103448276,11.931034482758621,1551,.,5497.0,6558.0,1636.0,4.0
914,127548726,29,11,0,1,1,20,7,60.89655172413793,1.4827586206896552,4.379310344827586,8.068965517241379,13.03448275862069,1000,Finath,4865.0,5000.0,2131.0,4.0
895,178633570,29,18,3,7,6,4,9,155.9655172413793,7.0,7.758620689655173,7.413793103448276,14.689655172413794,1475,Zoom-ZigZag,6510.0,7085.0,305.0,5.0
